Sample,Slice#,Frac_601(2),Frac_602(2)
530(2),14,0.012098613564697663,0.9879013864353023
530(2),15,0.010401483466772995,0.989598516533227
530(2),16,0.0025842062728591124,0.997415793727141
530(2),17,0.018657292604426404,0.9813427073955737
530(2),18,0.005118658826947283,0.9948813411730528
530(2),19,0.8945296819385139,0.10547031806148603
530(2),20,0.011249008838404823,0.9887509911615953
530(2),21,0.776209338918447,0.223790661081553
530(2),22,0.010318984792569812,0.9896810152074302
530(2),23,0.005088655556291313,0.9949113444437088
530(2),24,0.03564144566784689,0.9643585543321531
535,1,0.010572131464049249,0.9894278685359507
535,2,0.023019931886127786,0.9769800681138723
535,3,0.026987768460942887,0.9730122315390571
535,4,0.012521628938087566,0.9874783710619124
535,5,0.013795533121457995,0.986204466878542
535,6,0.01182410405030157,0.9881758959496985
535,7,0.015627629752548534,0.9843723702474515
535,8,0.013343471104740188,0.9866565288952599
535,9,0.02466124447454096,0.9753387555254591
535,10,0.01798869865275678,0.9820113013472432
535,11,0.015647399796452334,0.9843526002035476
535,12,0.009049658512646622,0.9909503414873534
535,13,0.011906289920439786,0.9880937100795603
535,14,0.013812627742254804,0.9861873722577451
535,15,0.010440313592352138,0.9895596864076479
535,16,0.019056733044270562,0.9809432669557294
535,17,0.01660354913430548,0.9833964508656946
535,18,0.026127023001331608,0.9738729769986684
535,19,0.007683854128307061,0.9923161458716929
535,20,0.03303188189513793,0.966968118104862
535,21,0.01372922128686433,0.9862707787131357
535,22,0.012624787474700125,0.9873752125252998
535,23,0.01940567263716491,0.980594327362835
535,24,0.010388191205304285,0.9896118087946957
601(2),1,0.03382740624977384,0.9661725937502261
601(2),2,0.008863716003602763,0.9911362839963972
601(2),3,0.2716923492901517,0.7283076507098483
601(2),4,0.7925295512654476,0.20747044873455256
601(2),5,0.051834526596661504,0.9481654734033385
601(2),6,0.012552992059912907,0.9874470079400871
601(2),7,0.39178841604645903,0.608211583953541
601(2),8,0.04746806877237788,0.9525319312276221
601(2),9,0.035087072195992504,0.9649129278040075
601(2),10,0.021550714738673697,0.9784492852613262
601(2),11,0.059353990848453136,0.9406460091515468
601(2),12,0.3728719310742963,0.6271280689257037
601(2),13,0.31052949771563565,0.6894705022843645
601(2),14,0.006271288974835842,0.9937287110251641
601(2),15,0.02076080643633831,0.9792391935636617
601(2),16,0.0030652297559571433,0.996934770244043
601(2),17,0.8156407048953336,0.18435929510466642
