Sample,Slice#,Frac_511,Frac_535
522(2),12,0.006295172091484426,0.9937048279085157
522(2),13,0.007459088385535846,0.9925409116144641
522(2),14,0.0,1.0
522(2),15,0.0008920097733950707,0.9991079902266049
522(2),16,0.0,1.0
522(2),17,0.008474745384251765,0.9915252546157483
522(2),18,0.006607499088104181,0.9933925009118958
522(2),19,0.009423653643857659,0.9905763463561423
522(2),20,0.0,1.0
522(2),21,0.0,1.0
522(2),22,0.0064907705898045835,0.9935092294101954
522(2),23,0.0,1.0
522(2),24,0.0,1.0
523(2),1,0.04596636419068908,0.9540336358093109
523(2),2,0.05430356590367926,0.9456964340963206
523(2),3,0.9674801132412495,0.03251988675875045
523(2),4,0.04349067517016654,0.9565093248298334
523(2),5,0.07028667392623425,0.9297133260737658
523(2),6,1.0,0.0
523(2),7,0.05072509014267686,0.9492749098573231
523(2),8,0.1638251152965313,0.8361748847034687
523(2),9,0.5481720179395283,0.45182798206047187
523(2),10,0.06042541951040062,0.9395745804895994
523(2),11,1.0,0.0
523(2),12,0.06247496908822688,0.9375250309117731
523(2),13,0.09817713603484772,0.9018228639651523
523(2),14,1.0,0.0
523(2),15,1.0,0.0
523(2),16,0.08823187540515347,0.9117681245948466
523(2),17,1.0,0.0
523(2),18,1.0,0.0
523(2),19,0.4259989910112524,0.5740010089887477
523(2),20,0.22757974217624116,0.7724202578237588
523(2),21,0.13557868042088803,0.8644213195791121
523(2),22,0.05284605992324589,0.9471539400767541
523(2),23,0.08377151300908675,0.9162284869909133
523(2),24,0.059460719371916264,0.9405392806280838
524(2),1,0.10979033204222692,0.8902096679577731
524(2),2,0.8622150471071155,0.13778495289288453
524(2),3,0.08996908037338458,0.9100309196266154
524(2),4,0.9671373301799177,0.03286266982008227
524(2),5,0.9882623911028421,0.011737608897157968
524(2),6,0.16071866159625364,0.8392813384037463
524(2),7,0.025756827449887703,0.9742431725501123
524(2),8,0.4893573404889542,0.5106426595110459
524(2),9,0.90789313533274,0.09210686466725995
524(2),10,0.03912563590859098,0.9608743640914089
524(2),11,0.9590119710399595,0.04098802896004039
524(2),12,0.9349207608628648,0.06507923913713506
524(2),13,0.067894772338746,0.932105227661254
524(2),14,0.9526628924305998,0.047337107569400266
524(2),15,0.07915082400622629,0.9208491759937736
524(2),16,0.10038679442741667,0.8996132055725834
524(2),17,0.077309868685732,0.922690131314268
524(2),18,0.006579292681765497,0.9934207073182345
524(2),19,0.04780866294739392,0.9521913370526062
524(2),20,0.9095274011113981,0.09047259888860192
524(2),21,0.020086020895099047,0.9799139791049011
524(2),22,0.57580716664523,0.4241928333547701
524(2),23,0.0,1.0
524(2),24,0.4339610998570769,0.5660389001429231
526(2),1,0.02849649824457963,0.9715035017554204
526(2),2,0.6435051021630951,0.3564948978369049
526(2),3,0.06735480188080664,0.9326451981191933
526(2),4,1.0,0.0
526(2),5,0.04357562362209224,0.9564243763779078
526(2),6,0.06049094920191465,0.9395090507980852
526(2),7,0.03421251843946704,0.965787481560533
526(2),8,0.04166428647999607,0.9583357135200039
526(2),9,0.03547076763619976,0.9645292323638003
526(2),10,0.022144164498435245,0.9778558355015647
526(2),11,0.03188269243942094,0.9681173075605791
526(2),12,0.03939147041453272,0.9606085295854673
526(2),13,0.030359213107804046,0.969640786892196
526(2),14,0.030481355992780304,0.9695186440072198
526(2),15,0.5403493235665962,0.45965067643340385
526(2),16,0.04059053968989911,0.959409460310101
526(2),17,0.04880178019914893,0.9511982198008511
526(2),18,0.7168580235095442,0.28314197649045575
526(2),19,0.3036402604729064,0.6963597395270936
526(2),20,0.04718800390287847,0.9528119960971215
526(2),21,0.015568933341679149,0.9844310666583208
526(2),22,0.040320548041090684,0.9596794519589094
526(2),23,0.02412105717777988,0.9758789428222201
526(2),24,0.034101106170867944,0.9658988938291321
527(2),1,0.9898086747040231,0.010191325295976873
527(2),2,0.017465272406016356,0.9825347275939836
527(2),3,0.06386668471078125,0.9361333152892187
527(2),4,0.8604939695067679,0.13950603049323212
527(2),5,0.22010985889711837,0.7798901411028817
527(2),6,0.046364656651909496,0.9536353433480904
527(2),7,0.03170381958043225,0.9682961804195678
527(2),8,0.041146037537093456,0.9588539624629064
527(2),9,0.03168268396726888,0.9683173160327311
527(2),10,0.040662281685589,0.9593377183144111
527(2),11,0.339866451443066,0.6601335485569341
527(2),12,0.023141130427309017,0.976858869572691
527(2),13,0.05133748264113094,0.9486625173588691
527(2),14,0.057407998201733,0.942592001798267
527(2),15,0.024614093206557726,0.9753859067934423
527(2),16,1.0,0.0
527(2),17,0.032667249950652975,0.967332750049347
527(2),18,0.20670640730462878,0.7932935926953711
527(2),19,0.024579616357917933,0.9754203836420821
527(2),20,0.02545869624800984,0.9745413037519901
